risk_bucket,loan_intent,total_loans,paid_loans,defaulted_loans,default_rate_pct,avg_loan_amount,total_loan_amount,avg_interest_rate,avg_person_income,avg_loan_percent_income,high_default_flag,loan_grade
high,PERSONAL,27,6,21,77.78,17642.59,476350,14.53,38832.44,0.4663,true,D
high,EDUCATION,31,8,23,74.19,20241.94,627500,14.36,43603.94,0.4716,true,D
medium,HOMEIMPROVEMENT,168,65,103,61.31,14617.26,2455700,14.85,55659.43,0.2654,true,D
medium,PERSONAL,248,124,124,50.0,14087.9,3493800,15.08,53277.75,0.2664,true,D
medium,VENTURE,206,107,99,48.06,14777.18,3044100,15.06,54870.0,0.2724,true,D
low,HOMEIMPROVEMENT,290,157,133,45.86,8753.97,2538650,14.94,80706.04,0.1151,true,D
medium,EDUCATION,240,141,99,41.25,14668.02,3520325,14.91,54121.08,0.2763,true,D
low,PERSONAL,367,233,134,36.51,8156.95,2993600,15.04,74231.93,0.1181,true,D
low,VENTURE,355,239,116,32.68,8032.46,2851525,14.97,75750.97,0.1133,true,D
low,EDUCATION,386,276,110,28.5,7784.33,3004750,14.99,72853.4,0.1168,true,D
medium,MEDICAL,27,0,27,100.0,17966.67,485100,18.2,59082.96,0.2707,true,F
medium,DEBTCONSOLIDATION,24,0,24,100.0,18442.71,442625,17.45,64392.29,0.2854,true,F
low,DEBTCONSOLIDATION,17,0,17,100.0,9041.18,153700,17.48,86141.41,0.0994,true,F
high,MEDICAL,3,0,3,100.0,19000.0,57000,18.04,37200.0,0.5067,true,F
high,DEBTCONSOLIDATION,2,0,2,100.0,17250.0,34500,18.74,35520.0,0.465,true,F
high,PERSONAL,2,0,2,100.0,24500.0,49000,18.42,51182.5,0.48,true,F
low,MEDICAL,22,2,20,90.91,9290.91,204400,17.36,89348.45,0.1082,true,F
medium,HOMEIMPROVEMENT,17,5,12,70.59,19066.18,324125,17.1,72538.65,0.2682,true,F
medium,EDUCATION,20,6,14,70.0,17387.5,347750,17.64,62480.8,0.2825,true,F
high,HOMEIMPROVEMENT,3,1,2,66.67,20666.67,62000,18.83,45549.33,0.4533,true,F
high,VENTURE,3,1,2,66.67,22933.33,68800,18.84,46133.33,0.5,true,F
low,HOMEIMPROVEMENT,12,5,7,58.33,12825.0,153900,17.84,138333.0,0.0992,true,F
low,EDUCATION,23,11,12,52.17,10825.0,248975,17.35,97992.48,0.1174,true,F
medium,PERSONAL,14,7,7,50.0,16517.86,231250,18.03,61209.86,0.2657,true,F
low,PERSONAL,14,8,6,42.86,11594.64,162325,18.83,103185.71,0.1129,true,F
medium,VENTURE,17,10,7,41.18,18266.18,310525,17.33,73264.71,0.2506,true,F
high,EDUCATION,3,2,1,33.33,20850.0,62550,16.82,36330.67,0.57,true,F
low,VENTURE,18,13,5,27.78,8241.67,148350,18.41,76427.78,0.1167,true,F
high,MEDICAL,66,14,52,78.79,14220.08,938525,8.03,30814.21,0.4642,true,A
high,PERSONAL,48,13,35,72.92,16221.35,778625,8.07,36063.31,0.4588,true,A
high,DEBTCONSOLIDATION,57,18,39,68.42,14787.28,842875,7.89,33863.58,0.4386,true,A
high,HOMEIMPROVEMENT,36,12,24,66.67,16000.0,576000,7.69,35603.97,0.4625,true,A
high,EDUCATION,52,22,30,57.69,14482.21,753075,7.85,32402.35,0.4571,true,A
high,VENTURE,68,30,38,55.88,14325.0,974100,7.66,30728.79,0.476,true,A
medium,HOMEIMPROVEMENT,222,171,51,22.97,12723.31,2824575,7.66,49643.37,0.2615,false,A
medium,DEBTCONSOLIDATION,417,325,92,22.06,12805.58,5339925,7.7,49229.78,0.2654,false,A
medium,MEDICAL,498,389,109,21.89,11413.4,5683875,7.86,44308.31,0.2639,false,A
medium,PERSONAL,431,340,91,21.11,12183.41,5251050,7.67,47568.67,0.2627,false,A
medium,EDUCATION,573,462,111,19.37,12216.45,7000025,7.71,47200.84,0.2643,false,A
medium,VENTURE,449,385,64,14.25,11957.91,5369100,7.74,46057.04,0.2631,false,A
low,HOMEIMPROVEMENT,868,798,70,8.06,7610.22,6605675,7.53,81238.59,0.1029,false,A
low,DEBTCONSOLIDATION,1279,1213,66,5.16,6876.43,8794950,7.63,73844.11,0.1017,false,A
low,PERSONAL,1353,1285,68,5.03,7190.43,9728650,7.67,76190.56,0.1058,false,A
low,MEDICAL,1395,1331,64,4.59,6909.87,9639275,7.65,71816.71,0.1065,false,A
low,EDUCATION,1549,1488,61,3.94,6919.93,10718975,7.66,72246.93,0.1036,false,A
low,VENTURE,1415,1407,8,0.57,7200.34,10188475,7.67,73835.34,0.1067,false,A
high,MEDICAL,79,17,62,78.48,18028.16,1424225,11.05,39527.59,0.4587,true,B
high,DEBTCONSOLIDATION,74,20,54,72.97,17139.86,1268350,10.96,36580.88,0.4735,true,B
high,PERSONAL,93,29,64,68.82,17573.66,1634350,11.0,38972.19,0.458,true,B
high,EDUCATION,93,32,61,65.59,18291.67,1701125,10.84,40255.55,0.4567,true,B
high,VENTURE,89,41,48,53.93,17847.19,1588400,10.96,39261.16,0.458,true,B
high,HOMEIMPROVEMENT,53,25,28,52.83,18190.57,964100,11.13,39544.43,0.4751,true,B
medium,PERSONAL,528,363,165,31.25,13448.72,7100925,11.01,51365.16,0.2676,true,B
medium,HOMEIMPROVEMENT,319,221,98,30.72,14856.27,4739150,11.0,56225.85,0.2708,true,B
medium,DEBTCONSOLIDATION,550,383,167,30.36,13325.45,7329000,11.03,50917.56,0.2679,true,B
medium,MEDICAL,644,482,162,25.16,13210.36,8507475,11.02,49592.52,0.2701,true,B
medium,EDUCATION,669,505,164,24.51,13795.74,9229350,11.04,51825.87,0.271,false,B
medium,VENTURE,584,470,114,19.52,13601.84,7943475,11.03,51248.76,0.2706,false,B
low,HOMEIMPROVEMENT,743,629,114,15.34,8587.69,6380650,10.98,85797.21,0.108,false,B
low,MEDICAL,1283,1166,117,9.12,7072.0,9073375,10.98,69593.27,0.1081,false,B
low,PERSONAL,1192,1091,101,8.47,7506.59,8947850,11.0,75542.57,0.1079,false,B
low,DEBTCONSOLIDATION,996,914,82,8.23,7866.89,7835425,10.97,78783.99,0.1086,false,B
low,EDUCATION,1262,1170,92,7.29,7417.93,9361425,10.98,71858.64,0.1082,false,B
low,VENTURE,1197,1189,8,0.67,7842.73,9387750,11.0,77269.77,0.1074,false,B
medium,PERSONAL,8,0,8,100.0,20668.75,165350,19.82,79487.75,0.2725,true,G
medium,VENTURE,6,0,6,100.0,17100.0,102600,20.15,65800.0,0.2683,true,G
medium,HOMEIMPROVEMENT,6,0,6,100.0,22395.83,134375,20.41,77806.67,0.2917,true,G
low,MEDICAL,5,0,5,100.0,13840.0,69200,18.82,84530.0,0.132,true,G
low,DEBTCONSOLIDATION,4,0,4,100.0,12287.5,49150,16.25,85999.0,0.14,true,G
medium,MEDICAL,4,0,4,100.0,13700.0,54800,19.92,42050.0,0.3225,true,G
medium,EDUCATION,4,0,4,100.0,23500.0,94000,19.97,88700.0,0.265,true,G
medium,DEBTCONSOLIDATION,4,0,4,100.0,20500.0,82000,19.86,82468.0,0.2525,true,G
low,EDUCATION,3,0,3,100.0,14333.33,43000,20.3,114333.33,0.12,true,G
high,MEDICAL,3,0,3,100.0,19666.67,59000,20.13,46000.0,0.4267,true,G
high,DEBTCONSOLIDATION,2,0,2,100.0,30000.0,60000,20.13,67000.0,0.445,true,G
low,HOMEIMPROVEMENT,2,0,2,100.0,18750.0,37500,20.16,124500.0,0.145,true,G
high,EDUCATION,2,0,2,100.0,13250.0,26500,19.97,32340.0,0.415,true,G
low,PERSONAL,1,0,1,100.0,5000.0,5000,20.17,44000.0,0.11,true,G
high,PERSONAL,1,0,1,100.0,25000.0,25000,20.16,54000.0,0.46,true,G
high,HOMEIMPROVEMENT,1,0,1,100.0,24000.0,24000,18.72,54000.0,0.44,true,G
low,VENTURE,8,1,7,87.5,8631.25,69050,18.62,89468.88,0.1038,true,G
